"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 08 13:25:11 MSK 2024","Sat Jun 08 13:25:13 MSK 2024","2472","tests","test_password_recovery","TestLoginPage","","","Переход на страницу восстановления пароля по кнопке «Восстановить пароль»","Нажимаем на кнопку «Восстановить пароль», выполняется переход на страницу /forgot-password"
"passed","Sat Jun 08 13:22:19 MSK 2024","Sat Jun 08 13:22:22 MSK 2024","3869","tests","test_main_functionality","TestMainFuncPage","","","Залогированный пользователь может оформить заказ.",""
"passed","Sat Jun 08 13:20:57 MSK 2024","Sat Jun 08 13:20:59 MSK 2024","2644","tests","test_main_functionality","TestMainFuncPage","","","Клик по кнопке Конструктор",""
"passed","Sat Jun 08 13:21:16 MSK 2024","Sat Jun 08 13:21:18 MSK 2024","2616","tests","test_main_functionality","TestMainFuncPage","","","Клик по кнопке Лента",""
"passed","Sat Jun 08 13:23:19 MSK 2024","Sat Jun 08 13:23:25 MSK 2024","5812","tests","test_orders_feed","TestOrdersLentaPage","","","Заказы пользователя из раздела «История заказов» отображаются на странице «Лента заказов»",""
"passed","Sat Jun 08 13:21:03 MSK 2024","Sat Jun 08 13:21:05 MSK 2024","2335","tests","test_main_functionality","TestMainFuncPage","","","Клик по кнопке Лента",""
"broken","Sat Jun 08 13:24:17 MSK 2024","Sat Jun 08 13:24:20 MSK 2024","3126","tests","test_orders_feed","TestOrdersLentaPage","","","При создании нового заказа счётчик Выполнено за сегодня увеличивается",""
"passed","Sat Jun 08 13:23:30 MSK 2024","Sat Jun 08 13:23:41 MSK 2024","10826","tests","test_orders_feed","TestOrdersLentaPage","","","При создании нового заказа счётчик Выполнено за всё время увеличивается",""
"passed","Sat Jun 08 13:24:26 MSK 2024","Sat Jun 08 13:24:34 MSK 2024","8904","tests","test_orders_feed","TestOrdersLentaPage","","","После оформления заказа его номер появляется в разделе В работе.",""
"broken","Sat Jun 08 13:26:33 MSK 2024","Sat Jun 08 13:26:37 MSK 2024","3884","tests","test_personal_account","TestOrderFeed","","","Переход в раздел «История заказов»",""
"passed","Sat Jun 08 13:21:55 MSK 2024","Sat Jun 08 13:21:57 MSK 2024","2200","tests","test_main_functionality","TestMainFuncPage","","","Всплывающее окно закрывается кликом по крестику",""
"passed","Sat Jun 08 13:25:48 MSK 2024","Sat Jun 08 13:25:50 MSK 2024","2259","tests","test_password_recovery","TestLoginPage","","","Клик по кнопке показать/скрыть пароль делает поле активным — подсвечивает его","Проверяю изменение атрибута type у элемента глазик"
"broken","Sat Jun 08 13:26:59 MSK 2024","Sat Jun 08 13:27:02 MSK 2024","2859","tests","test_personal_account","TestOrderFeed","","","Выход из аккаунта","Выход из аккаунта"
"passed","Sat Jun 08 13:23:02 MSK 2024","Sat Jun 08 13:23:09 MSK 2024","6183","tests","test_orders_feed","TestOrdersLentaPage","","","Заказы пользователя из раздела «История заказов» отображаются на странице «Лента заказов»",""
"passed","Sat Jun 08 13:22:56 MSK 2024","Sat Jun 08 13:22:58 MSK 2024","2096","tests","test_orders_feed","TestOrdersLentaPage","","","Если кликнуть на заказ, откроется всплывающее окно с деталями",""
"passed","Sat Jun 08 13:26:16 MSK 2024","Sat Jun 08 13:26:22 MSK 2024","5617","tests","test_personal_account","TestOrderFeed","","","Переход в раздел «История заказов»",""
"passed","Sat Jun 08 13:24:45 MSK 2024","Sat Jun 08 13:24:53 MSK 2024","8210","tests","test_orders_feed","TestOrdersLentaPage","","","После оформления заказа его номер появляется в разделе В работе.",""
"passed","Sat Jun 08 13:25:17 MSK 2024","Sat Jun 08 13:25:19 MSK 2024","1997","tests","test_password_recovery","TestLoginPage","","","Ввод почты и клик по кнопке «Восстановить»","Создается страница forgot_password_page, заполняется почта, клик по кнопке «Восстановить»"
"broken","Sat Jun 08 13:23:52 MSK 2024","Sat Jun 08 13:23:56 MSK 2024","4553","tests","test_orders_feed","TestOrdersLentaPage","","","При создании нового заказа счётчик Выполнено за всё время увеличивается",""
"passed","Sat Jun 08 13:22:13 MSK 2024","Sat Jun 08 13:22:15 MSK 2024","1642","tests","test_main_functionality","TestMainFuncPage","","","При добавлении ингредиента в заказ счётчик этого ингридиента увеличивается",""
"passed","Sat Jun 08 13:21:41 MSK 2024","Sat Jun 08 13:21:44 MSK 2024","2552","tests","test_main_functionality","TestMainFuncPage","","","Всплывающее окно закрывается кликом по крестику",""
"passed","Sat Jun 08 13:22:42 MSK 2024","Sat Jun 08 13:22:45 MSK 2024","2587","tests","test_orders_feed","TestOrdersLentaPage","","","Если кликнуть на заказ, откроется всплывающее окно с деталями",""
"passed","Sat Jun 08 13:25:29 MSK 2024","Sat Jun 08 13:25:31 MSK 2024","2034","tests","test_password_recovery","TestLoginPage","","","Ввод почты и клик по кнопке «Восстановить»","Создается страница forgot_password_page, заполняется почта, клик по кнопке «Восстановить»"
"broken","Sat Jun 08 13:26:08 MSK 2024","Sat Jun 08 13:26:11 MSK 2024","2646","tests","test_personal_account","TestOrderFeed","","","Переход по клику на «Личный кабинет»",""
"passed","Sat Jun 08 13:21:35 MSK 2024","Sat Jun 08 13:21:37 MSK 2024","2357","tests","test_main_functionality","TestMainFuncPage","","","Если кликнуть на ингредиент, появится всплывающее окно с деталями",""
"passed","Sat Jun 08 13:25:54 MSK 2024","Sat Jun 08 13:25:57 MSK 2024","3073","tests","test_personal_account","TestOrderFeed","","","Переход по клику на «Личный кабинет»",""
"passed","Sat Jun 08 13:22:01 MSK 2024","Sat Jun 08 13:22:02 MSK 2024","1632","tests","test_main_functionality","TestMainFuncPage","","","При добавлении ингредиента в заказ счётчик этого ингридиента увеличивается",""
"passed","Sat Jun 08 13:25:35 MSK 2024","Sat Jun 08 13:25:37 MSK 2024","1681","tests","test_password_recovery","TestLoginPage","","","Клик по кнопке показать/скрыть пароль делает поле активным — подсвечивает его","Проверяю изменение атрибута type у элемента глазик"
"passed","Sat Jun 08 13:24:58 MSK 2024","Sat Jun 08 13:25:00 MSK 2024","1704","tests","test_password_recovery","TestLoginPage","","","Переход на страницу восстановления пароля по кнопке «Восстановить пароль»","Нажимаем на кнопку «Восстановить пароль», выполняется переход на страницу /forgot-password"
"passed","Sat Jun 08 13:26:43 MSK 2024","Sat Jun 08 13:26:48 MSK 2024","5171","tests","test_personal_account","TestOrderFeed","","","Выход из аккаунта","Выход из аккаунта"
"passed","Sat Jun 08 13:22:33 MSK 2024","Sat Jun 08 13:22:37 MSK 2024","3828","tests","test_main_functionality","TestMainFuncPage","","","Залогированный пользователь может оформить заказ.",""
"passed","Sat Jun 08 13:21:22 MSK 2024","Sat Jun 08 13:21:24 MSK 2024","1646","tests","test_main_functionality","TestMainFuncPage","","","Если кликнуть на ингредиент, появится всплывающее окно с деталями",""
"passed","Sat Jun 08 13:20:45 MSK 2024","Sat Jun 08 13:20:47 MSK 2024","1971","tests","test_main_functionality","TestMainFuncPage","","","Клик по кнопке Конструктор",""
"passed","Sat Jun 08 13:24:02 MSK 2024","Sat Jun 08 13:24:07 MSK 2024","5246","tests","test_orders_feed","TestOrdersLentaPage","","","При создании нового заказа счётчик Выполнено за сегодня увеличивается",""
